IDX,Type,J,I,N,M,STRIDE,H,W,P,Prune ratio,M(old)
0,CONV,3,3,3,19,1,320,320,1,0.4,32
1,CONV,3,3,32,12,2,160,160,1,0.8,64
2,CONV,1,1,64,19,1,160,160,1,0.4,32
3,CONV,3,3,32,12,1,160,160,1,0.8,64
5,CONV,3,3,64,6,2,80,80,1,0.95,128
6,CONV,1,1,128,25,1,80,80,1,0.6,64
7,CONV,3,3,64,6,1,80,80,1,0.95,128
9,CONV,1,1,128,25,1,80,80,1,0.6,64
10,CONV,3,3,64,6,1,80,80,1,0.95,128
12,CONV,3,3,128,12,2,40,40,1,0.95,256
13,CONV,1,1,256,6,1,40,40,1,0.95,128
14,CONV,3,3,128,5,1,40,40,1,0.98,256
16,CONV,1,1,256,6,1,40,40,1,0.95,128
17,CONV,3,3,128,5,1,40,40,1,0.98,256
19,CONV,1,1,256,6,1,40,40,1,0.95,128
20,CONV,3,3,128,5,1,40,40,1,0.98,256
22,CONV,1,1,256,6,1,40,40,1,0.95,128
23,CONV,3,3,128,5,1,40,40,1,0.98,256
25,CONV,1,1,256,6,1,40,40,1,0.95,128
26,CONV,3,3,128,5,1,40,40,1,0.98,256
28,CONV,1,1,256,6,1,40,40,1,0.95,128
29,CONV,3,3,128,5,1,40,40,1,0.98,256
31,CONV,1,1,256,6,1,40,40,1,0.95,128
32,CONV,3,3,128,5,1,40,40,1,0.98,256
34,CONV,1,1,256,6,1,40,40,1,0.95,128
35,CONV,3,3,128,5,1,40,40,1,0.98,256
37,CONV,3,3,256,25,2,20,20,1,0.95,512
38,CONV,1,1,512,12,1,20,20,1,0.95,256
39,CONV,3,3,256,10,1,20,20,1,0.98,512
41,CONV,1,1,512,12,1,20,20,1,0.95,256
42,CONV,3,3,256,10,1,20,20,1,0.98,512
44,CONV,1,1,512,12,1,20,20,1,0.95,256
45,CONV,3,3,256,10,1,20,20,1,0.98,512
47,CONV,1,1,512,12,1,20,20,1,0.95,256
48,CONV,3,3,256,10,1,20,20,1,0.98,512
50,CONV,1,1,512,12,1,20,20,1,0.95,256
51,CONV,3,3,256,10,1,20,20,1,0.98,512
53,CONV,1,1,512,12,1,20,20,1,0.95,256
54,CONV,3,3,256,10,1,20,20,1,0.98,512
56,CONV,1,1,512,12,1,20,20,1,0.95,256
57,CONV,3,3,256,10,1,20,20,1,0.98,512
59,CONV,1,1,512,12,1,20,20,1,0.95,256
60,CONV,3,3,256,10,1,20,20,1,0.98,512
62,CONV,3,3,512,51,2,10,10,1,0.95,1024
63,CONV,1,1,1024,25,1,10,10,1,0.95,512
64,CONV,3,3,512,20,1,10,10,1,0.98,1024
66,CONV,1,1,1024,25,1,10,10,1,0.95,512
67,CONV,3,3,512,20,1,10,10,1,0.98,1024
69,CONV,1,1,1024,25,1,10,10,1,0.95,512
70,CONV,3,3,512,20,1,10,10,1,0.98,1024
72,CONV,1,1,1024,25,1,10,10,1,0.95,512
73,CONV,3,3,512,20,1,10,10,1,0.98,1024
75,CONV,1,1,1024,25,1,10,10,1,0.95,512
76,CONV,3,3,512,51,1,10,10,1,0.95,1024
77,CONV,1,1,1024,25,1,10,10,1,0.95,512
78,CONV,3,3,512,51,1,10,10,1,0.95,1024
79,CONV,1,1,1024,25,1,10,10,1,0.95,512
80,CONV,3,3,512,204,1,10,10,1,0.8,1024
81,CONV,1,1,1024,18,1,10,10,1,0,18
84,CONV,1,1,512,12,1,10,10,1,0.95,256
87,CONV,1,1,768,12,1,20,20,1,0.95,256
88,CONV,3,3,256,25,1,20,20,1,0.95,512
89,CONV,1,1,512,12,1,20,20,1,0.95,256
90,CONV,3,3,256,25,1,20,20,1,0.95,512
91,CONV,1,1,512,12,1,20,20,1,0.95,256
92,CONV,3,3,256,102,1,20,20,1,0.8,512
93,CONV,1,1,512,18,1,20,20,1,0,18
96,CONV,1,1,256,6,1,20,20,1,0.95,128
99,CONV,1,1,384,6,1,40,40,1,0.95,128
100,CONV,3,3,128,12,1,40,40,1,0.95,256
101,CONV,1,1,256,6,1,40,40,1,0.95,128
102,CONV,3,3,128,12,1,40,40,1,0.95,256
103,CONV,1,1,256,6,1,40,40,1,0.95,128
104,CONV,3,3,128,51,1,40,40,1,0.8,256
105,CONV,1,1,256,18,1,40,40,1,0,18
