IDX,Type,J,I,N,M,STRIDE,H,W
0,CONV,3,3,3,32,1,320,320
1,CONV,3,3,32,64,2,160,160
2,CONV,1,1,64,32,1,160,160
3,CONV,3,3,32,64,1,160,160
5,CONV,3,3,64,128,2,80,80
6,CONV,1,1,128,64,1,80,80
7,CONV,3,3,64,128,1,80,80
9,CONV,1,1,128,64,1,80,80
10,CONV,3,3,64,128,1,80,80
12,CONV,3,3,128,256,2,40,40
13,CONV,1,1,256,128,1,40,40
14,CONV,3,3,128,256,1,40,40
16,CONV,1,1,256,128,1,40,40
17,CONV,3,3,128,256,1,40,40
19,CONV,1,1,256,128,1,40,40
20,CONV,3,3,128,256,1,40,40
22,CONV,1,1,256,128,1,40,40
23,CONV,3,3,128,256,1,40,40
25,CONV,1,1,256,128,1,40,40
26,CONV,3,3,128,256,1,40,40
28,CONV,1,1,256,128,1,40,40
29,CONV,3,3,128,256,1,40,40
31,CONV,1,1,256,128,1,40,40
32,CONV,3,3,128,256,1,40,40
34,CONV,1,1,256,128,1,40,40
35,CONV,3,3,128,256,1,40,40
37,CONV,3,3,256,512,2,20,20
38,CONV,1,1,512,256,1,20,20
39,CONV,3,3,256,512,1,20,20
41,CONV,1,1,512,256,1,20,20
42,CONV,3,3,256,512,1,20,20
44,CONV,1,1,512,256,1,20,20
45,CONV,3,3,256,512,1,20,20
47,CONV,1,1,512,256,1,20,20
48,CONV,3,3,256,512,1,20,20
50,CONV,1,1,512,256,1,20,20
51,CONV,3,3,256,512,1,20,20
53,CONV,1,1,512,256,1,20,20
54,CONV,3,3,256,512,1,20,20
56,CONV,1,1,512,256,1,20,20
57,CONV,3,3,256,512,1,20,20
59,CONV,1,1,512,256,1,20,20
60,CONV,3,3,256,512,1,20,20
62,CONV,3,3,512,1024,2,10,10
63,CONV,1,1,1024,512,1,10,10
64,CONV,3,3,512,1024,1,10,10
66,CONV,1,1,1024,512,1,10,10
67,CONV,3,3,512,1024,1,10,10
69,CONV,1,1,1024,512,1,10,10
70,CONV,3,3,512,1024,1,10,10
72,CONV,1,1,1024,512,1,10,10
73,CONV,3,3,512,1024,1,10,10
75,CONV,1,1,1024,512,1,10,10
76,CONV,3,3,512,1024,1,10,10
77,CONV,1,1,1024,512,1,10,10
78,CONV,3,3,512,1024,1,10,10
79,CONV,1,1,1024,512,1,10,10
80,CONV,3,3,512,1024,1,10,10
81,CONV,1,1,1024,18,1,10,10
84,CONV,1,1,512,256,1,10,10
87,CONV,1,1,768,256,1,20,20
88,CONV,3,3,256,512,1,20,20
89,CONV,1,1,512,256,1,20,20
90,CONV,3,3,256,512,1,20,20
91,CONV,1,1,512,256,1,20,20
92,CONV,3,3,256,512,1,20,20
93,CONV,1,1,512,18,1,20,20
96,CONV,1,1,256,128,1,20,20
99,CONV,1,1,384,128,1,40,40
100,CONV,3,3,128,256,1,40,40
101,CONV,1,1,256,128,1,40,40
102,CONV,3,3,128,256,1,40,40
103,CONV,1,1,256,128,1,40,40
104,CONV,3,3,128,256,1,40,40
105,CONV,1,1,256,18,1,40,40
